ID,ansatt_ID,fraværstype,fra_dato,til_dato,status
1,4,Ferie,2026-06-15,2026-06-26,Godkjent
2,5,Sykdom,2026-06-03,2026-06-05,Avventer
3,6,Permisjon,2026-06-10,2026-07-10,Godkjent
4,1,Ferie,2026-07-01,2026-07-18,Godkjent
5,2,Sykdom,2026-07-14,2026-07-16,Godkjent
6,3,Permisjon,2026-08-03,2026-08-14,Avventer
7,4,Ferie,2026-08-17,2026-08-28,Godkjent
8,5,Sykdom,2026-09-07,2026-09-09,Avslått
9,6,Ferie,2026-09-14,2026-09-25,Godkjent
10,1,Sykdom,2026-10-05,2026-10-07,Avventer
11,2,Permisjon,2026-10-19,2026-11-06,Godkjent
12,3,Ferie,2026-12-21,2027-01-02,Godkjent
13,4,Sykdom,2027-01-13,2027-01-15,Avventer
14,5,Permisjon,2027-01-19,2027-02-12,Godkjent
15,6,Sykdom,2027-02-08,2027-02-10,Godkjent
16,1,Ferie,2027-03-29,2027-04-11,Godkjent
17,2,Sykdom,2027-05-03,2027-05-05,Avventer
18,3,Ferie,2027-06-14,2027-06-25,Godkjent
