ID,ansatt_ID,sted,fra_dato,til_dato
1,1,Oslo,2026-06-08,2026-06-12
2,2,Bergen,2026-06-15,2026-06-19
3,3,Trondheim,2026-06-22,2026-06-26
4,4,Stavanger,2026-07-06,2026-07-10
5,5,Tromsø,2026-07-20,2026-07-24
6,6,Lillehammer,2026-07-27,2026-07-31
7,1,Kristiansand,2026-08-03,2026-08-07
8,2,Hamar,2026-08-17,2026-08-21
9,3,Ålesund,2026-09-07,2026-09-11
10,4,Drammen,2026-09-14,2026-09-18
11,5,Oslo,2026-09-21,2026-09-25
12,6,Bergen,2026-10-12,2026-10-16
13,1,Trondheim,2026-11-02,2026-11-06
14,2,Stavanger,2026-11-16,2026-11-20
15,3,Tromsø,2026-11-23,2026-11-27
16,4,Lillehammer,2026-12-07,2026-12-11
17,5,Kristiansand,2026-12-14,2026-12-18
18,6,Hamar,2027-01-11,2027-01-15
19,1,Ålesund,2027-01-18,2027-01-22
20,2,Drammen,2027-02-09,2027-02-13
